system   I             system.c:245  al_install_system                [   0.00115] Allegro version: 5.1.12 (WIP)
dtor     D               dtor.c:184  _al_register_destructor          [   0.00163] added dtor for object 010D05B0, func 0F69172B
system   D            wsystem.c:674  maybe_parent_dir                 [   0.00185] Also searching C:\Users\Juan Manuel\Desktop\tp3sala\PG-TP3\TrabajoPractico-3\
system   D            wsystem.c:724  _al_win_safe_load_library        [   0.00237] PathFindOnPath found: C:\WINDOWS\system32\d3d9.dll
system   D            wsystem.c:635  load_library_at_path             [   0.00243] Calling LoadLibrary C:\WINDOWS\system32\d3d9.dll
system   I            wsystem.c:638  load_library_at_path             [   0.01199] Loaded C:\WINDOWS\system32\d3d9.dll
d3d      I         d3d_disp.cpp:672  d3d_init_display                 [   0.03792] Render-to-texture: 1
d3d      I         d3d_disp.cpp:1770 d3d_create_display_locked        [   0.03872] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1771 d3d_create_display_locked        [   0.03877] al_display=01134E48
d3d      D         d3d_disp.cpp:1772 d3d_create_display_locked        [   0.03881] al_display->vt=010FFB00
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.04627] found 64 format combinations
display  D   display_settings.c:202  debug_display_settings           [   0.04637] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.04643] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.04648] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.04653] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.04657] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.04662] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.04665] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.04670] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.04674] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.04679] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.04683] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.04687] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.04691] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.04696] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.04700] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.04705] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.04708] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.04713] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.04717] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.04722] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.04725] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.04730] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.04743] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.04748] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.04752] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.04757] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.04761] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.04766] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.04770] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.04775] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.04778] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.04783] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.04787] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.04792] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.04796] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.04801] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.04805] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.04809] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.04813] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.04818] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.04822] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.04826] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.04830] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.04836] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.04855] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.04861] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.04865] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.04870] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.04874] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.04879] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.04883] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.04888] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.04892] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.04897] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.04902] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.04907] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.04911] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.04916] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.04920] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.04925] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.04930] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.04935] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.04939] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.04944] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.04949] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.04954] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.04958] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.04963] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.04967] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.04972] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.04976] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.04981] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.04985] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.04990] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.04994] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.04999] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.05003] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.05008] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.05011] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.05016] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.05020] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.05024] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.05028] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.05036] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.05040] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.05046] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.05050] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.05054] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.05058] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.05063] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.05066] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.05071] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.05074] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.05080] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.05084] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.05088] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.05093] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.05097] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.05102] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.05107] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.05111] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.05116] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.05120] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.05125] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.05128] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.05135] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.05139] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.05143] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.05147] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.05152] Single Buffer requirement not met.
